{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 0, 38), 'price': 0.0696, 'size': 1000, 'value': 1000.0, 'cash_remaining': 1000.0}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 1, 47), 'price': 0.0698, 'size': 1000, 'value': 1000.1999999999999, 'cash_remaining': 930.4}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 2, 55), 'price': 0.06984, 'size': 1000, 'value': 1000.1999999999999, 'cash_remaining': 1000.1999999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 5, 30), 'price': 0.06937, 'size': 1000, 'value': 999.7199999999999, 'cash_remaining': 930.3499999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 6, 52), 'price': 0.06927, 'size': 1000, 'value': 999.7099999999999, 'cash_remaining': 999.7099999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 7, 47), 'price': 0.06947, 'size': 1000, 'value': 999.91, 'cash_remaining': 930.4399999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 8, 53), 'price': 0.06922, 'size': 1000, 'value': 999.9, 'cash_remaining': 999.9}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 9, 23), 'price': 0.06955, 'size': 1000, 'value': 1000.2299999999999, 'cash_remaining': 930.68}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 13, 15), 'price': 0.06953, 'size': 1000, 'value': 1000.2199999999999, 'cash_remaining': 1000.2199999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 14, 2), 'price': 0.06963, 'size': 1000, 'value': 1000.3199999999999, 'cash_remaining': 930.6899999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 14, 59), 'price': 0.06955, 'size': 1000, 'value': 1000.3199999999999, 'cash_remaining': 1000.3199999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 15, 32), 'price': 0.0697, 'size': 1000, 'value': 1000.47, 'cash_remaining': 930.77}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 19, 10), 'price': 0.07019, 'size': 1000, 'value': 1000.48, 'cash_remaining': 1000.48}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 20, 27), 'price': 0.07056, 'size': 1000, 'value': 1000.8399999999999, 'cash_remaining': 930.28}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 1, 21, 5), 'price': 0.07042, 'size': 1000, 'value': 1000.86, 'cash_remaining': 1000.86}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 1, 23, 57), 'price': 0.07022, 'size': 1000, 'value': 1000.6500000000001, 'cash_remaining': 930.4300000000001}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 2, 0, 20), 'price': 0.06996, 'size': 1000, 'value': 1000.6300000000001, 'cash_remaining': 1000.6300000000001}
