{'type': 'buy', 'datetime': datetime.datetime(2023, 10, 1, 14, 43), 'price': 0.06246, 'size': 1000, 'value': 1000.0, 'cash_remaining': 1000.0}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 1, 22, 19), 'price': 0.0629, 'size': 1000, 'value': 1000.4499999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 1, 22, 22), 'price': 0.06301, 'size': 1000, 'value': 1000.56, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 1, 22, 25), 'price': 0.06316, 'size': 1000, 'value': 1000.7099999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 2, 1, 48), 'price': 0.06351, 'size': 1000, 'value': 1001.06, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 10, 5, 44), 'price': 0.05905, 'size': 1000, 'value': 996.5999999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 10, 14, 5), 'price': 0.05886, 'size': 1000, 'value': 996.41, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 10, 14, 15), 'price': 0.05898, 'size': 1000, 'value': 996.53, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 13, 11, 42), 'price': 0.0586, 'size': 1000, 'value': 996.15, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 13, 11, 43), 'price': 0.05859, 'size': 1000, 'value': 996.14, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 13, 11, 44), 'price': 0.05858, 'size': 1000, 'value': 996.13, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 13, 11, 45), 'price': 0.05856, 'size': 1000, 'value': 996.1099999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 13, 21, 3), 'price': 0.05878, 'size': 1000, 'value': 996.3299999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 14, 10, 43), 'price': 0.0587, 'size': 1000, 'value': 996.25, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 14, 12, 27), 'price': 0.05943, 'size': 1000, 'value': 996.9799999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 14, 22, 54), 'price': 0.05985, 'size': 1000, 'value': 997.4, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 15, 1, 47), 'price': 0.05976, 'size': 1000, 'value': 997.31, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 16, 13, 31), 'price': 0.06145, 'size': 1000, 'value': 999.0, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 16, 22, 4), 'price': 0.06001, 'size': 1000, 'value': 997.56, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 18, 4, 57), 'price': 0.05917, 'size': 1000, 'value': 996.7199999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 18, 22, 57), 'price': 0.05893, 'size': 1000, 'value': 996.4799999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 20, 2, 22), 'price': 0.05909, 'size': 1000, 'value': 996.64, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 20, 8, 28), 'price': 0.05975, 'size': 1000, 'value': 997.3, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 22, 22, 46), 'price': 0.06117, 'size': 1000, 'value': 998.7199999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 23, 8, 49), 'price': 0.06473, 'size': 1000, 'value': 1002.28, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 23, 8, 51), 'price': 0.06489, 'size': 1000, 'value': 1002.4399999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 23, 8, 54), 'price': 0.06505, 'size': 1000, 'value': 1002.5999999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 24, 12, 45), 'price': 0.0698, 'size': 1000, 'value': 1007.3499999999999, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 26, 3, 4), 'price': 0.07273, 'size': 1000, 'value': 1010.28, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 29, 17, 38), 'price': 0.06973, 'size': 1000, 'value': 1007.28, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 30, 21, 42), 'price': 0.06972, 'size': 1000, 'value': 1007.27, 'cash_remaining': 937.55}
{'type': 'sell', 'datetime': datetime.datetime(2023, 10, 31, 11, 21), 'price': 0.07012, 'size': 1000, 'value': 1007.67, 'cash_remaining': 937.55}
